0	avoir trové. » 	auoir trouue. 	0
1	Si li conte tote s’aventure issi 	si luy compte toute sauanture ansi 	1
2	com vos avés oi dire ça arrieres. 	comme le comte la dit cy deuant tant 	2
3	tant qu’il conoist bien 	que il cognoist bien 	3
4	que c’est il 	que cest il 	4
5	qu’ele quiert a, 	quelle quiert. 	5
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	Mais pour le courroux |quil a de la mort au seneschal ne se ueult il faire cognoistre 	6|7
7|8	ains li respont: « |Certes, damoisele, chevalier 	Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier 	8
9	qui porte escu blanc ne conois je nul. — 	qui porte escu blanc.	9
10	En non Dieu, sire, fet ele, 	Certes sire fait elle 	10
11	ce poise moi chierement. » 	ce me poise 	11
12	Et il n’en tient plus a li parole, 	et il ne tient plus parole a luy. 	12
13	ains part si tost 	ains sem part |si tost 	13|14
14	com il l’ot commandee a Dieu a 	quil leut commandee a dieu 	15
15	et chevalche en tel maniere jusqu’a tierce 	et cheuauche en telle maniere |iucqua tierce 	16|17
16	tant qu’il vint a l’issue de la forest; 	tant quil uient a lissue de la fourest. 	18
17	et il torne a destre vers un chemin viés et ancien; 	et il tourne a destre vers ung chemin uieil et ancien. 	19
18	si ne demora gueres 	Si ne demoura gueres 	20
19	qu’il vint a une eve P lee et parfonde, 	quil uient a une caue lee et parfonde 	21
20	mais il n’i trueve pont 	mais il ny treuue pont 	22
21	ne gué ne passage nul. 	ne gue ne passage nul. 	23
22	Et il regarde d’autre part de l’eve, 	et il regarde de lautrepart de leaue 	24
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde . Il regarde grant piece le chastel 	25
24	dont la façons li plest molt a regarder, 	dont la facon luy plaist moult a regarder 	26
25|26	puis s’en torne contreval la riviere|por savoir 	puis sen retourne tout contreual la riuiere pour sauoir 	27
27	s’il i peust trover ne pont ne gué, 	sil pourroit trouuer |ne pont ne gue 	28|29
28	mais il n’en trueve point 	Mais il ny en treuue point. 	30
29	et quant il voit 	Et quant il uoit 	31
30	qu’il n’i passera, 	quil ne puet passer 	32
31	si ne set 	si ne scet 	33
32	que fere, 	que faire 	34
33	que retorner ne voldroit il mie. 	car retourner ne uouldroit il pas. 	35
34	Atant voit issir del chastel une damoisele 	Adonc uoit yssir du chastel une damoisele 	36
