0	avoir trové. » 	auoir trouue 	0
1	Si li conte tote s’aventure issi 	si luy compte toute son auanture 	1
2	com vos avés oi dire ça arrieres. 		
3	tant qu’il conoist bien 	tant quil cengnoit bien	2
4	que c’est il 	que cest celle 	3
5	qu’ele quiert a, 	qui le quiert/ 	4
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	Mais pour le couroust |quil a du sencchal et de sa mort ne se uoult faire congnoistre/ 	5|6
7|8	ains li respont: « |Certes, damoisele, chevalier 	mes leur respont certes damoiselle ie ne cengnois mie le cheualier 	7
9	qui porte escu blanc ne conois je nul. — 	qui porte les blances armes. 	8
10|11	En non Dieu, sire, fet ele, |ce poise moi chierement. » 	En nen dieu fait elle il me poyse monlt chierement. 	9
12	Et il n’en tient plus a li parole, 		
13	ains part si tost 	A donc sen part 	10
14	com il l’ot commandee a Dieu a 	et ne uoult plus parler il la commandee a dieu 	11
15	et chevalche en tel maniere jusqu’a tierce 	et sen ua. |et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies 	12|13
16	tant qu’il vint a l’issue de la forest; 	tant quil uint a lissue de la forest 	14
17	et il torne a destre vers un chemin viés et ancien; 	et il tourna a destre uers ung petit chemyn uieil: 	15
18	si ne demora gueres 	si ne demoura gueres 	16
19	qu’il vint a une eve P lee et parfonde, 	quil uint en une uallee/ |ou il couroit une eau monlt roidde la 	17|18
20	mais il n’i trueve pont 	quelle estoit grande et parfonde/ 	19
21	ne gué ne passage nul. 	et ne treuue ne pont ne planche |par ou il puisse passer. 	20|21
22	Et il regarde d’autre part de l’eve, 	Sy regarde de laultre part de leaue 	22
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. Il regarde le chastel grant pieche 	23
24	dont la façons li plest molt a regarder, 	car monlt luy plaisoit a uoir/ 	24
25	puis s’en torne contreval la riviere	puis sen tourne contre ual la riuiere 	25
26	por savoir 	pour scauoir 	26
27	s’il i peust trover ne pont ne gué, 	sil pouroit trouuer ne pont ne gue par le quel il puisse passer/ 	27
28	mais il n’en trueve point 	mes il nen truue point.	28
29|30	et quant il voit |qu’il n’i passera, 	Et il uoit ce 	29
31	si ne set 	si ne scait 	30
32	que fere, 	que faire/ 	31
33	que retorner ne voldroit il mie. 	car retourner ne uoulloit pas. 	32
34|35	Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise,	A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise/ 	33
36	si le menoient troi vilain molt vilainement a 	sy la menoient quatre ribaulx monlt felonneusement 	34
37	et tenoit chescuns une hache en sa main; 	et tenoient chascun en sa main ung coustel trenchant. 	35
38|39	et ele crioit |quanque ele pooit crier 	Et la damoiselle crioit tant comme elle pouoit pour la laidure et honte 	36
40|41	por els |qui li faisoient tel honte et tel laidure 	que telx ribaulx luy faisoient/ 	37
42	qu’il la venoient batant tot contreval la riviere. 	et la menoient batant contre ual la riuiere.	38
43	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ uiere commenca a crier 	39
44	si commence a crier: « 	et dire en tell maniere 	40
45	Ha, gentilz chevaliers, secorés ceste damoisele 	Haa beau|et gentil cheualier secoures ceste damoiselle 	41|42
46	que cist ribaut vuelent ocirre. 	que ces ribaulx ueullent occire/ 	43
47	Ha, frans hom, 	haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars. |et se uous pitie de moy 	44|45
48|49	ne m’i laissiés morir, |se vos onques eustes pitié de nule gentil damoisele !» 	car se uous ne me secoures ie suys a la mort liurer. 	46
50	Quant Boors ot ce 	Et quant boort ouyt 	47
51|52	qu’ele li prie |si pitousement 	quelle le prioit si piteusement 	48
53	qu'il la secore, 		
54	si ne set que fere, 	si ne scait |que faire 	49|50
55	kar volentiers li aidast 	car uoulentiers luy allast aider 	51
56	s’il peust; 	se il peult estre/ 	52
