0	avoir trové. » 	avere trovato». 	0
1	Si li conte tote s’aventure issi 	Si gli conta tutta sua aventura 	1
2	com vos avés oi dire ça arrieres. 	si come el libro l’à trattato qua adietro, 	2
3	tant qu’il conoist bien 	tanto che conosce bene 	3
4	que c’est il 	che ciò est elli quelli 	4
5	qu’ele quiert a, 	cui ella chiede, 	5
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	ma per lo cruccio |ch’egli à della morte del siniscalco non si vuole fare cognoscere, 	6|7
7	ains li respont: « 	anzi le risponde: 	8
8	Certes, damoisele, chevalier 	'Certo, damigella, il cavaliere 	9
9|10	qui porte escu blanc ne conois je nul. — |En non Dieu, sire, fet ele, 	che porta lo scudo bianco non ne so io nulla. —A nome di Dio, dis’ella, 	10
11	ce poise moi chierement. » 	ciò pesa a mes. 	11
12	Et il n’en tient plus a li parole, 	E non tenne più a-llei parole, 	12
13|14	ains part si tost |com il l’ot commandee a Dieu a 	anzi si parti si tosto come l’à comandata a dDio 	13
15	et chevalche en tel maniere jusqu’a tierce 	e cavalca tanto in tale maniera infino qua a terza, 	14
16	tant qu’il vint a l’issue de la forest; 	tanto|che viene a l’uscita della foresta. 	15|16
17	et il torne a destre vers un chemin viés et ancien; 	Ed e torna a destra inverso uno camino vecchio e antico, 	17
18	si ne demora gueres 	si non dimora guari 	18
19	qu’il vint a une eve P lee et parfonde, 	che viene a una acqua lata e perfonda, 	19
20|21	mais il n’i trueve pont |ne gué ne passage nul. 	ma e' non vi truova né ponte né guado né passaggio nullo. 	20
22	Et il regarde d’autre part de l’eve, 	Ed elli isguarda d’altra parte dell’acqua,	21
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	si vide uno piccolo castello molto ben sedente, chiuso d’uno muro battagliato tutto intorno alla ritonda. |eElli riguarda gran peza il castello, 	22|23
24	dont la façons li plest molt a regarder, 	donde la fazion gli piace molto al riguardare, 	24
25	puis s’en torne contreval la riviere	poscia ritorna tutto contravalle la riviera	25
26	por savoir 	per sapere 	26
27	s’il i peust trover ne pont ne gué, 	se potrebbe trovare né ponte né guado, 	27
28	mais il n’en trueve point 	ma e non ve ne truova punto, 	28
29	et quant il voit 	e quand’e vede 	29
30	qu’il n’i passera, 	che non potrà passare, 	30
31|32	si ne set |que fere, 	si non sa che fare, 	31
33	que retorner ne voldroit il mie. 	ché ritornare non vorebbe elli mica. 	32
34	Atant voit issir del chastel une damoisele 	?Atanto vide uscire una damigella del castello 	33
35	qui ert tote nue en sa chemise,	ch’era tutta ignuda in sua camicia solamente,	34
36	si le menoient troi vilain molt vilainement a 	si-lla menavano iiii. rubaldi molto villanamente 	35
37	et tenoit chescuns une hache en sa main; 	e tenieno ciascuno una acciaia in sua mano. 	36
38	et ele crioit 	Ed ella grida 	37
39|40	quanque ele pooit crier |por els 	quanto ch’ella può gridare per coloro 	38
41	qui li faisoient tel honte et tel laidure 	che-lle facieno cotale onta e tal ladiura, 	39
42	qu’il la venoient batant tot contreval la riviere. 	ch’elli la menavano battendo tutto contravalle la riviera. 	40
43	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	E quando la damigella vide lo cavaliere dall’altra parte dell’acqua, 	41
44	si commence a crier: « 	si gli comincia a gridare: 	42
45	Ha, gentilz chevaliers, secorés ceste damoisele 	Hal, gentile huomo, soccorete questa damigella 	43
46	que cist ribaut vuelent ocirre. 	che questi rubaldi vogliono uccidere! 	44
