0	avoir trové. » 	queria fallar muy de grado 	0
1	Si li conte tote s’aventure issi 	e luego le conto todo 	1
2	com vos avés oi dire ça arrieres. 	como le auia conel contesçido |asi como el cuento lo a deuisado 	2|3
3|4	tant qu’il conoist bien |que c’est il 	e luego entendio boores 	4
5|6	qu’ele quiert a, |Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer 	5
7|8	ains li respont: « |Certes, damoisele, chevalier 	conosçer antele rrespondio çierto donçella al cauallero 	6
9	qui porte escu blanc ne conois je nul. — 	que traia blancas armas no conozco yo 	7
10|11	En non Dieu, sire, fet ele, |ce poise moi chierement. » 	Pardios dixo la donçella mucho me Pesa caramjente 	8
12|13	Et il n’en tient plus a li parole, |ains part si tost 	e boores non quiso conella mas estar 	9
14	com il l’ot commandee a Dieu a 	e acomendo la a dios 	10
15	et chevalche en tel maniere jusqu’a tierce 	e fuese e andubo tanto 	11
16	tant qu’il vint a l’issue de la forest; 	que salio dela floresta 	12
17	et il torne a destre vers un chemin viés et ancien; 	e dexo el camino e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	13|14
18	si ne demora gueres 	e non andubo mucho 	15
19	qu’il vint a une eve P lee et parfonde, 	porque llego a vn valle |Por do corria vn agua muy negra e fea e fonda 	16|17
20	mais il n’i trueve pont 	e non fallo puente 	18
21	ne gué ne passage nul. 	por do Pudiese pasar 	19
22	Et il regarde d’autre part de l’eve, 	e cato dela otra parte Del agua 	20
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	e vio vn castillo muy bien asentado |çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 	21|22
24	dont la façons li plest molt a regarder, 	ca mucho se pagaua delo catar 	23
25	puis s’en torne contreval la riviere	e despues torno la rribera ayuso 	24
26|27	por savoir |s’il i peust trover ne pont ne gué, 	Por saber si podria fallar puente 	25
28|29	mais il n’en trueve point |et quant il voit 	Por do pasase mas el no pudo fallar ninguna 	26
30|31	qu’il n’i passera, |si ne set 	e boores desque esto vido no sabia que se façer 	27
32|33	que fere, |que retorner ne voldroit il mie. 	ca el no se queria tomar en ninguna manera 	28
34|35	Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise,	Ansi estando vio del castillo salir vna donçella en camisa 	29
36	si le menoient troi vilain molt vilainement a 	que traian quatro rribaldos muy sañudamente 	30
37	et tenoit chescuns une hache en sa main; 	e cadavno traia enla mano vna lança 	31
38	et ele crioit 	e ella daua vozes 	32
39|40	quanque ele pooit crier |por els 	quanto podia dar 	33
41|42	qui li faisoient tel honte et tel laidure |qu’il la venoient batant tot contreval la riviere. 	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar 	34
43	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	e quando la donçella vio a bores dela otra parte del agua 	35
44	si commence a crier: « 	començo a dar vozes 	36
45	Ha, gentilz chevaliers, secorés ceste damoisele 	e a deçir ay jentil cauallero acorred a esta donçella 	37
46	que cist ribaut vuelent ocirre. 	que estos Ribaldos me quieren ansi matar 	38
47|48	Ha, frans hom, |ne m’i laissiés morir, 	ay buen cauallero 	39
49|50	se vos onques eustes pitié de nule gentil damoisele !» |Quant Boors ot ce 	si nunca oviste piedad de donçella auelda agora de mi 	40
51|52	qu’ele li prie |si pitousement 	e no me dexedes asi morir Quando boores oyo 	41
53|54	qu'il la secore, |si ne set que fere, 	lo que la donçella deçia no supo que façer 	42
55|56	kar volentiers li aidast |s’il peust; 	ca muy de grado la quisiera acorrer si pudiese 	43
57|58	mais il voit l’eve noire et parfonde |et si perilluse 	Mas el agua hera muy fonda e peligrosa e negra e bien cuidaua morir 	44
59	qu’il cuide bien noier, 		
60	s’il se met dedens; 	si se y Metiese 	45
61	et d'autre part il voit cele 	e dela otra parte veya la donçella 	46
62	qui si durement crie merci; 	que muy afincada mente le pedia merçed 	47
63	si l'em prent tels pitiés 	e ovo tal piedad della 	48
64	qu’il en laisse totes poors 	que le fiço todo el miedo perder 	49
65	et fet le signe de la crois en mi son vis, 	e fiço la señal dela cruz sobre si 	50
66	puis enbrace l’escu 	e enbraço el escudo 	51
67|68	et broche le cheval des esperons |et se fiert en l’eve. 	e firio al cauallo de las espuelas 	52
69|70	Et li chevals fu fors,|si commence a noer 	e lanço se en el agua e el cauallo començo de nadar luego 	53
71	si tost com il ot terre perdue, 	e perdio tierra en tal manera 	54
72	si l’enporte d’autre part de la rive a quelque paine, 	que paso dela otra parte del agua 	55
73	mais ançois ot beu de l’eve li uns et li autre, 	mas ante beuio el cauallo del agua 	56
74	et se li chevals ne fust si buens, 	e si el caballo tan bueno no fuera sin dubda 	57
75	noié fuissent ambedui, 	el moriera enel agua 	58
76	kar li chevaliers estoit pesans por les armes 	e boores |porel peso delas armas 	59|60
77	qu’il avoit vestues. 	que llebaua 	61
78|79	Quant il fu de l’autre part de l’eve, |si ne descendi pas, 	e desque fue dela otra Parte del agua dexo se correr aquellos que la donçella tenian 	62
80	ains cort vers cels 		
81	qui la damoisele tenoient 		
82	et fiert si le premier 	e firio al primero 	63
83	qu’il aconsieut 	que encontro en tal manera 	64
84	qu’il li met le glaive par mi le cors, 	que le metio la lança porel cuerpo 	65
85|86	si l’abat a terre, |et li autre s’enfuient erraument 	e los otros dos 	66
87	por ce que desarmé estoient. 	que aquello vieron fuyeron luego por miedo de no ser muertos |ca todos estauan desarmados 	67|68
88|89	Et la damoisele|qui delivree se voit se met a genols devant Boort 	e la donçella desque aquello vido finco los ynojos ante boores 	69
