0	avoir trové. » 	auoir troue 	0
1	Si li conte tote s’aventure issi 	Si li conte tote sauenture 	1
2	com vos avés oi dire ça arrieres. 	ainsi com li contes la retraite. 	2
3	tant qu’il conoist bien 	Tant que il quenoit bien 	3
4	que c’est il 	que cest ele 	4
5	qu’ele quiert a, 	que il le quiert. 	5
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	mais por le corrous |quil auoit de la mort au seneschal: ne se wet faire 	6|7
7	ains li respont: « 	quenoistre a li |si li dit. 	8|9
8	Certes, damoisele, chevalier 	Certes damoisele	10
9	qui porte escu blanc ne conois je nul. — 	qui port escu blanc ne sai ie nul. 	11
10|11	En non Dieu, sire, fet ele, |ce poise moi chierement. » 	En no dieu fait ele de ce me poise il trop durement. 	12
12	Et il n’en tient plus a li parole, 	et il ne tient plus a li parole. 	13
13	ains part si tost 	Ains sen part 	14
14	com il l’ot commandee a Dieu a 	si tost comme il lot comandee a dieu. 	15
15	et chevalche en tel maniere jusqu’a tierce 	et cheuauche en tel maniere. 	16
16	tant qu’il vint a l’issue de la forest; 	tant quil uient a lissue de la forest 	17
17	et il torne a destre vers un chemin viés et ancien; 	et il torne a destre uers le chemin uiee et acien 	18
18	si ne demora gueres 	Si ne demora gaires 	19
19	qu’il vint a une eve P lee et parfonde, 	quil uient a une eue lee et parfonde. 	20
20	mais il n’i trueve pont 	mais il ni trueue ne pont 	21
21	ne gué ne passage nul. 	ne gue ne passaige nul. 	22
22	Et il regarde d’autre part de l’eve, 	et lors regarde il dautre part de leue. 	23
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	Si uoit .i. petit chastelet mout bien feant |qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel	24|25
24	dont la façons li plest molt a regarder, 	dont Ia fasons li plait mout a esgarder. 	26
25	puis s’en torne contreval la riviere	et puis sen torne tot contreual la riuere. 	27
26	por savoir 	Por sauoir 	28
27	s’il i peust trover ne pont ne gué, 	se il i troueroit ne pont ne gue. 	29
28|29	mais il n’en trueve point |et quant il voit 	mais il nen i trurue point : 	30
30|31	qu’il n’i passera, |si ne set 	si ne sot	31
32	que fere, 	que faire 	32
33|34	que retorner ne voldroit il mie. |Atant voit issir del chastel une damoisele 	car retorner ne wet il mie atant uoit issir une damoisele dou chastel 	33
35	qui ert tote nue en sa chemise,	qui estoit tote nue en sa chemisse 	34
36	si le menoient troi vilain molt vilainement a 	si la menoient. iiii.tre ribaus mout uilment. 	35
37	et tenoit chescuns une hache en sa main; 	et tenoit chascuns une hache en sa main. 	36
38	et ele crioit 	et ele crioit 	37
39	quanque ele pooit crier 	quantque le pooit crier. 	38
40	por els 	por ciax 	39
41	qui li faisoient tel honte et tel laidure 	qui li fasoient tele honte. et tel laidure 	40
42	qu’il la venoient batant tot contreval la riviere. 	que il la menoient batant tout contrtual la riuiere t 	41
43	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	quant la damoisele uoit le cheualier dautre part la riuiere. 	42
44	si commence a crier: « 	si li comance a crier. 	43
45	Ha, gentilz chevaliers, secorés ceste damoisele 	ha: gentis cheualiers secores ceste damoisele 	44
46	que cist ribaut vuelent ocirre. 	que ciz ribaut wellet ocire. 	45
47|48	Ha, frans hom, |ne m’i laissiés morir, 	ha; frans hons ne mi laissiez morir 	46
49	se vos onques eustes pitié de nule gentil damoisele !» 	se uos eutes onques pitie de franche damosele. 	47
50	Quant Boors ot ce 	quant boh̾. oit cele 	48
51|52	qu’ele li prie |si pitousement 	que si piteusement lapele 	49
53	qu'il la secore, 	et li prie 	50
54	si ne set que fere, 	quil la sekeure. Sire set |que faire. 	51|52
55	kar volentiers li aidast 	car uolentiers li alait aidier 	53
56	s’il peust; 	se il poist. 	54
57|58	mais il voit l’eve noire et parfonde |et si perilluse 	Mais il uoit leue si parfonde et si perilleuse 	55
59	qu’il cuide bien noier, 	que il cuide bien perir 	56
60	s’il se met dedens; 	se il se met dedans. 	57
61	et d'autre part il voit cele 	et dautre part il uoit cele	58
62	qui si durement crie merci; 	qui si docemet li prie nc .ci. 	59
63	si l'em prent tels pitiés 	Si len prent tes pitiez	60
64	qu’il en laisse totes poors 	quil en laisse totes paours. 	61
65	et fet le signe de la crois en mi son vis, 	Si fait le signe de la crois enmi son uis. 	62
66	puis enbrace l’escu 	puis enbrace lescu. 	63
67	et broche le cheval des esperons 	et broche le cheual des esperons	64
68	et se fiert en l’eve. 	et se fiert en leue tot errantment. 	65
69	Et li chevals fu fors,	Et li cheuaus fu fors	66
70	si commence a noer 	si comance a noer 	67
71	si tost com il ot terre perdue, 	si tost com il ot terre perdue 	68
72	si l’enporte d’autre part de la rive a quelque paine, 	si lenporte dautͤ part la riue a quelque painne. 	69
73	mais ançois ot beu de l’eve li uns et li autre, 		
74	et se li chevals ne fust si buens, 		
75	noié fuissent ambedui, 		
76	kar li chevaliers estoit pesans por les armes 		
77	qu’il avoit vestues. 		
78	Quant il fu de l’autre part de l’eve, 		
79	si ne descendi pas, 	Si ne descendi pas	70
80	ains cort vers cels 	ains cort uers ciax 	71
81	qui la damoisele tenoient 	qui la damoisele renoient 	72
82	et fiert si le premier 		
83	qu’il aconsieut 	que il consieut 	73
84	qu’il li met le glaive par mi le cors, 	quil li met le glaiue parmi le cors 	74
85	si l’abat a terre, 	si labat mort aterre. 	75
86	et li autre s’enfuient erraument 	et li autre sen fuient |porre 	76|77
87|88	por ce que desarmé estoient. |Et la damoisele	qu il estoient desarme. et la damaisele	78
89	qui delivree se voit se met a genols devant Boort 		
90|91	et dist: « |Ha, gentils chevaliers, de Dieu soiés vos beneois, 	qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele beneois soiez uos de dieu. 	79
92	quant vos m’avés de mort rescosse, 	quant uos mauez de mort rescoce. 	80
93	et aorés en soit Diex, 	et aoures soit diex 	81
94	quant il ceste part vos amena, 	quant ils amena ceste part. 	82
95	kar cist gloton m’euissent ja morte. — Damoisele, fet il,	Car cil gloton meussent ia morte 	83
96	por quoi ? — Sire fet ele, jel vos dirai bien, 	ce uos ne fussiez. Damoisele fait il porcoi. Sire fait ele ie le uos dirai bien. 	84
97|98	mais|que vos m’aiés mise a sauveté. — 	mais que uos maiez misse a Sauuete. 	85
99	Coment ? fet il. Avés vos dont garde ? — 	Coument fait il auez uos dont garde. 	86
100	Certes, fet ele, ja asseur ne seraî fant 	Certes sire faic ele ia a seur ne sera tant 	87
101	com je sache laiens le seignor del chastel, 	com ie saiche laiens le signeur de cest chastel. 	88
102	kar c’est li plus fel chevaliers del monde et li plus traîtres. » A ces paroles voient issir I. chevalier del chastel 	Car cest li plus fel cheualiers dou monde |et li plus traites. 	89|90
		a ces paroles uoit issir un cheualier del chastel. 	91
103	et la ou il vit Boort, 	et la |ou il uoit behort 	92|93
104	si li escrie : « Laissiés, dans chevaliers, la damoisele	si li est terre. Laissiez dans cheualiers la damoisele 	94
105|106	que vos n’enmenrois mie! |Par mon chief, mar le rescosistes!» 	que uos nen meneroie et par mon chief mar la rescousites. 	95
107	Si li cort 	Si li acort 	96
108	quanqu’il puet le glaive alongié; 	quanquil puet le glaiue alongnre. 	97
109	et Boors retrait son glaîve a lui del cors a celui 	et behors retrait son glaiue del cors au ribaut 	98
110	qu’il avoit ocis; 	que il auoit ocis. 	99
111	si laisse le cheval corre 	Si li laisse le cheual. 	100
112	et le fiert si tres durement 	et le fiert si durement	101
113	qu’il l’abat a terre si estordi 	quil labat a terre si estordi 	102
114	qu’il n’a pooir de relever, 	que cil na pooir de releuer.	103
115	ains gist pasmés, 	Ains fu pasmes. 	104
116	kar il chai si felenessement 	Car il fu cheus si uilainnement 	105
117	qu’a poi que la canole del col n'avoit brisee. 	qua pou quil not la chenole dou col bͥsie. 	106
118	Et Boors li vet a cheval 	et behors li ua a cheual par desus le cors. 	107
119	par desus le cors tant que tot le debrise. 	tant que tout le debrisse. 	108
120	Et lors est la damoisele si liee 	et lors est la damoisele si lie 	109
121	qu’ele ne puet plus 	que ele ne puet plus. 	110
122	et dist a Boort : « Sire, nos n’avons mes garde,	et dit a beh̾. Sire fait ele nous nauons |mais garde ce cuige. 	111|112
123	kar je ne cuit 	Car ie ne cuit 	113
124|125	qu’il eust plus de chevaliers çaiens |que cestui;	quil ait mais cheualier laiens plus que cestui. 	114
